serverId,name,categories
1713,CoolKidsRule,smp|pvp
1714,piglinbox,box
1715,RiftBox,pvp
1716,SkypixelPro,smp|skyblock|minigames
1717,FrostyMines,box|pvp|modded
1718,raced,minigames|pvp
1719,gaybox,box
1720,ROCKOmoly,smp
1721,CosmicBoxz,gens
1722,lifes4al,smp|pvp
1723,MISTYB0X,gens|pvp
1724,AxoPVP,minigames|pvp
1725,Dinotive,creative
1726,1nsaneBox,box
1727,Vernaltitan,smp|pvp|oldPVP
1728,TomoeSMP,smp
1729,OkBo0o0mer,smp
1730,MinerzForUz,prison|box
1731,free4fun,box|pvp
1732,Morris123456,creative
1733,LostKnight,rolePlay|rpg|pvp
1734,H0m13SMP,smp|farming|rolePlay
1735,TeensBOX,pvp|gens|prison
1736,survivalkitt,smp|modded
1737,RuhCraft,smp|rolePlay|pvp
1738,FractelMC,smp|pvp
1739,BehindLives,rolePlay
1740,VoidSSP,smp|skyblock|gens
1741,DragoblowSMP,smp
1742,DavidssssSMP,pvp
1743,Tr0llolol,smp
1744,BoredAsH2L,smp|rolePlay
1745,LifesXRob,smp|factions|pvp
1746,rpislandrp,rpg
1747,FAYG,smp|pvp
1748,SUpaEasyBoxx,smp|box|pvp
1749,SURMCZ,pvp
1750,Ratistan86,smp|factions|pvp
1751,FruitDevsMC,smp
1752,TryBoxx,box|pvp
1753,BgBox1,pvp
1754,SquarPVP,modded|pvp
1755,Vboxspvp,smp|pvp|box
1756,LifeReload,smp
1757,TheHubox,box|farming|gens
1758,shresr,smp
1759,ROBOTDUPE,smp|modded
1760,Saturbox,pvp|gens
1761,30x30border,smp
1762,DGkrumpir,smp
1763,lootgens,prison|skyblock|minigames
1764,xGodBox,smp|box|pvp
1765,GoldSmp012,farming|smp
1766,DRAKKE,smp
1767,PugBox,gens|pvp
1768,Notefax,farming|rolePlay|smp
1769,xCheezSMPx,factions
1770,asqx,pvp
1771,PvPAnarchy10,pvp
1772,RailingSMP,smp
1773,OrionVille,modded
1774,AsimisterSMP,smp|rolePlay
1775,Rama10000,smp
1776,CottageCore6,smp
1777,UpdateHour12,smp
1778,156874,smp
1779,NoSpecialSMP,smp
1780,A7box,pvp
1781,neutralCraft,smp|factions|farming
1782,DonutSMP14,smp|pvp
1783,CzaryIkomary,smp
1784,SspaceBoxx,pvp
1785,MinigamePVPe,pvp|minigames
1786,augmentbox,box
1787,TuurLars,smp
1788,MungTowers,minigames
1789,joinkits,pvp|factions
1790,OscarSMP0,smp
1791,SK8DKSMP,smp
1792,MineBoxXL,farming|pvp|box
1793,hxclnewSMP,smp
1794,OverseerSMP,smp
1795,PixelLifeSMP,creative|rolePlay
1796,konore,skyblock
1797,a2mavik108,smp|farming
1798,EldogSmp,smp
1799,BoxNemesis,gens
1800,ltfesteal,smp|pvp
